date,open,high,low,close
1/3/2000,192.375,192.375,180,189.5
1/4/2000,184,187,175.875,176.0156
1/5/2000,175,180.0625,168.5,172.375
1/6/2000,173.75,176,160,161.5
1/7/2000,165.875,177,165,177
1/10/2000,182,187.875,179.875,184.5
1/11/2000,183.5,185.75,174,176.5
1/12/2000,178,178.4844,172,173.125
1/13/2000,177,183,174.1562,182.5
1/14/2000,186,187.25,184,185.375
1/18/2000,184.125,188.875,182.875,188
1/19/2000,186.9844,192,184.8594,190.5625
1/20/2000,191,193.75,188.0156,191
1/21/2000,193,193.125,190.125,192.5
1/24/2000,194.875,195.25,181.9375,182.5
1/25/2000,183.75,188.2344,178.8125,186.3125
1/26/2000,186.5,186.625,178,179
1/27/2000,183.5,185,175.25,181
1/28/2000,180,180.9375,169.5,171.5
1/31/2000,171.75,180,167,180
2/1/2000,179.0625,185,176.875,185
2/2/2000,184.5,189.4375,184.1875,185.75
2/3/2000,188.625,193.25,184.5625,192.25
2/4/2000,194,196.4844,192.4375,193.8125
2/7/2000,194.5,197,192.5,196.8125
2/8/2000,198.75,204.5,198.75,204.5
2/9/2000,204.125,204.3906,197.5,198
2/10/2000,199.625,204.5,197.1094,204.375
2/11/2000,204.125,204.125,196,198
2/14/2000,199.9844,200,195.5,198.7188
2/15/2000,197.875,201.25,191.75,200.5
2/16/2000,199.8125,203.375,198.625,199.8125
2/17/2000,202.375,206.5,199.25,203.75
2/18/2000,205.25,206,196.875,197.625
2/22/2000,198,199.875,192.5,197.3125
2/23/2000,199.3594,210,198.3125,208.25
2/24/2000,209.75,213.6094,204,213
2/25/2000,212.375,215,207.75,208.375
2/28/2000,206.5,211.375,201,207.5
2/29/2000,211.5,214.1875,209.875,214
3/1/2000,214.5,217.125,213,215.25
3/2/2000,216.125,216.375,209.5,210.2656
3/3/2000,216,222.25,214,219.0469
3/6/2000,223.5,226.4375,220.5,223
3/7/2000,227.625,227.75,217.5,219.5
3/8/2000,222,224,212.5625,223.125
3/9/2000,222.4375,230,218.1875,230
3/10/2000,229.75,232.875,227.0156,229.375
3/13/2000,220,228.25,219.0625,222.375
3/14/2000,225.5,226.75,210,214
3/15/2000,213,214,203.75,205.9375
3/16/2000,210.75,218.5,202,217
3/17/2000,216,222.125,215.875,221.625
3/20/2000,111,111.5,106.25,107.25
3/21/2000,106.125,111.875,103.5625,111.5
3/22/2000,113.5,115.9688,111.125,114
3/23/2000,114.4844,117.75,113.5625,116.375
3/24/2000,117.4844,120.5,115.0156,117.875
3/27/2000,118,119.5,117.125,117.3594
3/28/2000,116.9844,117.8125,114.375,115
3/29/2000,115.375,115.4375,110,110.5
3/30/2000,107.25,112.75,103.5,107.25
3/31/2000,108.1406,110.625,104,109.5
4/3/2000,107.7656,109.125,100.75,103.5
4/4/2000,103.625,103.9375,88.3125,100.75
4/5/2000,97.5,103.9375,96.25,99
4/6/2000,102.375,103.875,99.75,102.3125
4/7/2000,104.125,107.375,102.625,106
4/10/2000,107.625,107.6875,99.25,100
4/11/2000,97.125,101.5,95.75,97.7344
4/12/2000,97.625,98.75,63.125,92
4/13/2000,92.8125,96,88.25,89
4/14/2000,86.0625,88.5,78,79.75
4/17/2000,78.0156,90,78,89
4/18/2000,89.4844,93,87.375,91.75
4/19/2000,92.5,93.625,89.0625,89.0625
4/20/2000,90.375,90.9688,86.1875,86.875
4/24/2000,83.4375,85.25,79.875,85
4/25/2000,86.5,90.5,86,90.4375
4/26/2000,90.625,92.4219,87.125,87.375
4/27/2000,83.5,92.4844,82.25,91.375
4/28/2000,93.5625,94.75,92.125,94.5
5/1/2000,95.75,96.875,94.25,95.75
5/2/2000,94.875,95.625,89.75,90
5/3/2000,89.5,90.25,85.5156,89.375
5/4/2000,89,90.75,87.625,89.125
5/5/2000,88.125,92.3125,88.0313,91.5
5/8/2000,90.5,90.75,87.75,88.25
5/9/2000,88.5,89.125,84.75,85.5
5/10/2000,84.375,85.4375,79.5,80
5/11/2000,82.75,85.25,80.875,84.75
5/12/2000,85.375,87.5625,84,84.6875
5/15/2000,84.8125,88.625,82.625,88.625
5/16/2000,90,91.5,88.0625,91.0625
5/17/2000,89.25,90.5,87.75,89.1875
5/18/2000,89,89.3594,85.375,85.6875
5/19/2000,83.75,85,81.3125,81.6875
5/22/2000,81.625,82.25,75.5781,82
5/23/2000,81.375,82.625,74.625,75.125
5/24/2000,75,79.875,72.25,79.75
5/25/2000,80.25,82.25,76.5,77.5
5/26/2000,77.75,79.25,75.75,77.6875
5/30/2000,80,85.9375,80,85.5
5/31/2000,84.4688,86.6719,82.75,83
6/1/2000,85.1875,88.375,84,87.5
6/2/2000,92.625,94.1094,91.875,93.25
6/5/2000,92.25,95.3125,91.875,93.625
6/6/2000,93.1875,95,90.875,91.375
6/7/2000,91.5625,93.4375,89.5625,93.4375
6/8/2000,94.625,94.875,91.625,93
6/9/2000,94.75,94.75,93,93.5625
6/12/2000,94.3125,94.3125,90.8125,91
6/13/2000,90.5,94.1875,89.3594,94.1875
6/14/2000,94.875,94.875,91.5625,92.1563
6/15/2000,91.875,93.8125,90.875,93.7969
6/16/2000,94.75,95.3125,93.0625,94.1719
6/19/2000,94.0156,98.25,92.6875,97.8125
6/20/2000,98.25,99.6875,97.1875,98.3906
6/21/2000,96.8125,99.7188,96.6875,98.6875
6/22/2000,98.625,99,94.7656,94.7656
6/23/2000,95,95.5,91.4375,91.6406
6/26/2000,93.0625,94.4219,92,94.1875
6/27/2000,93.7656,95.0625,92.3906,92.7188
6/28/2000,92.9844,95.5,92.5,93.8906
6/29/2000,92.9375,93.375,90.625,91.7031
6/30/2000,91.8125,93.9531,91.3125,93.1875
7/3/2000,93.5,95.25,93.25,95.125
7/5/2000,93.625,93.9688,90.875,91.25
7/6/2000,91.5625,94.75,90.0625,94.5625
7/7/2000,95,97,94.4375,95.4063
7/10/2000,94.6875,95.875,94,94.25
7/11/2000,94.0625,95.75,92.8125,93.2031
7/12/2000,95.4375,97.75,94.625,96.9688
7/13/2000,97.9375,99.75,97.125,98.9375
7/14/2000,100.25,101.125,98.8125,100.625
7/17/2000,100.9375,102.0625,99.875,101.4375
7/18/2000,100.375,100.7812,98.3594,99.25
7/19/2000,98.3125,98.9375,95.6563,96.625
7/20/2000,97.875,100.1875,97.2656,100.1875
7/21/2000,98.4375,99.5156,97.1406,97.3125
7/24/2000,97.9375,99,94.3125,94.3125
7/25/2000,95.625,96.7344,93.8125,96.0781
7/26/2000,95.5,96.125,93.25,95.625
7/27/2000,93.9375,95.0625,91.5625,91.5625
7/28/2000,92.1875,92.875,86,86.8125
7/31/2000,87.625,90.125,85.7188,89.5
8/1/2000,89.8125,89.9844,87.4844,88.4063
8/2/2000,87.875,90.3906,86.6875,86.8594
8/3/2000,84.25,90.8125,83.3125,90.8125
8/4/2000,92,92.7656,89.125,90
8/7/2000,90.875,93.0313,90.25,92.2656
8/8/2000,92.0625,93.4375,91.5,92
8/9/2000,93.6875,94.4375,91.3906,91.6094
8/10/2000,91.8125,92.2344,89.6875,89.9375
8/11/2000,89.25,91.1094,87.875,90.875
8/14/2000,91.375,93,90.2031,92.9375
8/15/2000,92.75,93.9844,92,93.0625
8/16/2000,93.4375,94.6875,92,93.4219
8/17/2000,92.9375,95.875,92.875,95.4375
8/18/2000,95.9375,96.625,94.6875,95.1406
8/21/2000,96,96.8594,94.375,95.75
8/22/2000,96,97.3594,95.2656,95.4375
8/23/2000,94.6875,97.4375,93.8281,97
8/24/2000,97.4375,98.6875,96.0625,98.5625
8/25/2000,98.4844,99.9531,97.625,98.375
8/28/2000,98.25,99.8438,97.9375,98.4375
8/29/2000,98.625,99.1719,97.8594,98.8281
8/30/2000,98.3125,99.5,97.7656,98.8906
8/31/2000,99.625,101.875,99.5625,101.875
9/1/2000,103,103.5156,101.1875,102.5
