date,open,high,low,close
1/3/2000,1469.25,1478,1438.36,1455.22
1/4/2000,1455.22,1455.22,1397.4301,1399.42
1/5/2000,1399.42,1413.27,1377.6801,1402.11
1/6/2000,1402.11,1411.9,1392.1,1403.45
1/7/2000,1403.45,1441.47,1400.73,1441.47
1/10/2000,1441.47,1464.36,1441.47,1457.6
1/11/2000,1457.6,1458.66,1434.42,1438.5601
1/12/2000,1438.5601,1442.6,1427.08,1432.25
1/13/2000,1432.25,1454.2,1432.25,1449.6801
1/14/2000,1449.6801,1473,1449.6801,1465.15
1/18/2000,1465.15,1465.15,1451.3,1455.14
1/19/2000,1455.14,1461.39,1448.6801,1455.9
1/20/2000,1455.9,1465.71,1438.54,1445.5699
1/21/2000,1445.5699,1453.1801,1439.6,1441.36
1/24/2000,1441.36,1454.09,1395.42,1401.53
1/25/2000,1401.53,1414.26,1388.49,1410.03
1/26/2000,1410.03,1412.73,1400.16,1404.09
1/27/2000,1404.09,1418.86,1370.99,1398.5601
1/28/2000,1398.5601,1398.5601,1356.2,1360.16
1/31/2000,1360.16,1394.48,1350.14,1394.46
2/1/2000,1394.46,1412.49,1384.79,1409.28
2/2/2000,1409.28,1420.61,1403.49,1409.12
2/3/2000,1409.12,1425.78,1398.52,1424.97
2/4/2000,1424.97,1435.91,1420.63,1424.37
2/7/2000,1424.37,1427.15,1413.33,1424.24
2/8/2000,1424.24,1441.83,1424.24,1441.72
2/9/2000,1441.72,1444.55,1411.65,1411.71
2/10/2000,1411.7,1422.1,1406.4301,1416.83
2/11/2000,1416.83,1416.83,1378.89,1387.12
2/14/2000,1387.12,1394.9301,1380.53,1389.9399
2/15/2000,1389.9399,1407.72,1376.25,1402.05
2/16/2000,1402.05,1404.55,1385.58,1387.67
2/17/2000,1387.67,1399.88,1380.0699,1388.26
2/18/2000,1388.26,1388.59,1345.3199,1346.09
2/22/2000,1346.09,1358.11,1331.88,1352.17
2/23/2000,1352.17,1370.11,1342.4399,1360.6899
2/24/2000,1360.6899,1364.8,1329.88,1353.4301
2/25/2000,1353.4301,1362.14,1329.15,1333.36
2/28/2000,1333.36,1360.8199,1325.0699,1348.05
2/29/2000,1348.05,1369.63,1348.05,1366.42
3/1/2000,1366.42,1383.46,1366.42,1379.1899
3/2/2000,1379.1899,1386.5601,1370.35,1381.76
3/3/2000,1381.76,1410.88,1381.76,1409.17
3/6/2000,1409.17,1409.74,1384.75,1391.28
3/7/2000,1391.28,1399.21,1349.99,1355.62
3/8/2000,1355.62,1373.79,1346.62,1366.7
3/9/2000,1366.7,1401.8199,1357.88,1401.6899
3/10/2000,1401.6899,1413.46,1392.0699,1395.0699
3/13/2000,1395.0699,1398.39,1364.84,1383.62
3/14/2000,1383.62,1395.15,1359.15,1359.15
3/15/2000,1359.15,1397.99,1356.99,1392.14
3/16/2000,1392.15,1458.47,1392.15,1458.47
3/17/2000,1458.47,1477.33,1453.3199,1464.47
3/20/2000,1464.47,1470.3,1448.49,1456.63
3/21/2000,1456.63,1493.92,1446.0601,1493.87
3/22/2000,1493.87,1505.08,1487.33,1500.64
3/23/2000,1500.64,1532.5,1492.39,1527.35
3/24/2000,1527.35,1552.87,1516.83,1527.46
3/27/2000,1527.46,1534.63,1518.46,1523.86
3/28/2000,1523.86,1527.36,1507.09,1507.73
3/29/2000,1507.73,1521.45,1497.45,1508.52
3/30/2000,1508.52,1517.38,1474.63,1487.92
3/31/2000,1487.92,1519.8101,1484.38,1498.58
4/3/2000,1498.58,1507.1899,1486.96,1505.97
4/4/2000,1505.98,1526.45,1416.41,1494.73
4/5/2000,1494.73,1506.55,1478.05,1487.37
4/6/2000,1487.37,1511.76,1487.37,1501.34
4/7/2000,1501.34,1518.6801,1501.34,1516.35
4/10/2000,1516.35,1527.1899,1503.35,1504.46
4/11/2000,1504.46,1512.8,1486.78,1500.59
4/12/2000,1500.59,1509.08,1466.15,1467.17
4/13/2000,1467.17,1477.52,1439.34,1440.51
4/14/2000,1440.51,1440.51,1339.4,1356.5601
4/17/2000,1356.5601,1401.53,1346.5,1401.4399
4/18/2000,1401.4399,1441.61,1397.8101,1441.61
4/19/2000,1441.61,1447.6899,1424.26,1427.47
4/20/2000,1427.47,1435.49,1422.08,1434.54
4/24/2000,1434.54,1434.54,1407.13,1429.86
4/25/2000,1429.86,1477.67,1429.86,1477.4399
